name,enumeration_type,npi,taxonomy,phone,address_1,city,state,postal_code
100 PERCENT CHIROPRACTIC HELFRICH INC,NPI-2,1770007783,Chiropractor,858-367-8660,18025 CALLE AMBIENTE,RANCHO SANTA FE,CA,92067
"100 PERCENT CHIROPRACTIC LIVINGOOD, INC",NPI-2,1316521065,Chiropractor,266-529-3153,129-131 W. CALIFORNIA BLVD.,PASADENA,CA,91105
17TH STREET OLIVEIRA CHIROPRACTIC PC,NPI-2,1235478249,Chiropractor,504-453-6244,3705 17TH ST,SAN FRANCISCO,CA,941142021
1ST INDUSTRIAL MEDICAL GROUP,NPI-2,1689863995,Chiropractor,714-289-4693,1234 W CHAPMAN AVE Unit 9,ORANGE,CA,928682862
2 ENTREPRENEURS INC,NPI-2,1104919844,Chiropractor,818-776-8900,"18425 BURBANK BLVD,",TARZANA,CA,91356
220 FITNESS CONCEPTS,NPI-2,1386942415,Acupuncturist,310-399-0220,171 PIER AVE # 283,SANTA MONICA,CA,904055311
5 ELEMENTS NATURL WELLNESS,NPI-2,1477075711,Acupuncturist,858-564-8236,6635 FLANDERS DR STE G,SAN DIEGO,CA,921212978
5 STAR PRO CENTERS,NPI-2,1568827525,Chiropractor,,1041 E YORBA LINDA BLVD STE 210,PLACENTIA,CA,928703763
5150FITNESS,NPI-2,1619305018,Chiropractor,323-461-1990,1710 N MCCADDEN PL,LOS ANGELES,CA,900284603
911 BIOCARE LLC,NPI-2,1912240623,Chiropractor,855-901-0911,330 ALABAMA STREET,REDLANDS,CA,92373
A C URGENT CARE INC,NPI-2,1114457538,Chiropractor,714-634-4884,1000 S ANAHEIM BLVD STE 200,ANAHEIM,CA,928055803
A CENTER FOR WELLNESS,NPI-2,1114104536,Chiropractor,323-653-4826,8222 MELROSE AVE,LOS ANGELES,CA,900466825
A FAMILY CHIROPRACTIC A BRAVO INC.,NPI-2,1356058804,Chiropractor,408-271-2800,100 O' CONNOR DRIVE SUITE 25 Unit 9,SAN JOSE,CA,95128
"A FINE SPINE CHIROPRACTIC, A BOGOMOLNY CORP.",NPI-2,1558922211,Chiropractor,310-844-5502,2812 SANTA MONICA BLVD STE 208,SANTA MONICA,CA,904042432
A HEALTHY COMMUNITY,NPI-2,1104376029,Chiropractor,707-588-9640,6050 COMMERCE BLVD,ROHNERT PARK,CA,949282101
A I M FOR WELLNESS INC,NPI-2,1306344981,"Physical Therapist, Sports",424-331-5661,8725 LA TIJERA BLVD,LOS ANGELES,CA,90045
A JUSPINE CHIROPACTIC INC,NPI-2,1376768044,Chiropractor,760-949-5686,15923 BEAR VALLEY ROAD,HESPERIA,CA,923451750
A PINA CHIROPRACTIC CORP,NPI-2,1396818449,Chiropractor,310-792-5490,4515 SEPULVEDA BLVD,TORRANCE,CA,905052207
A PINA CHIROPRACTIC CORP,NPI-2,1255730214,"Chiropractor, Rehabilitation",310-792-5490,20112 ANZA AVE,TORRANCE,CA,905032009
A PROFESSIONAL CHIROPRACTIC CORP.,NPI-2,1194948067,Chiropractor,562-866-3340,5220 CLARK AVE.,LAKEWOOD,CA,90712
A SANTOS CHIROPRACTIC,NPI-2,1104137421,Chiropractor,916-613-3470,3116 INDUSTRIAL BLVD,WEST SACRAMENTO,CA,956913473
A TO Z MEDICAL MANAGEMENT LLC,NPI-2,1063547024,Chiropractor,714-484-1280,1125 N MAGNOLIA AVE,ANAHEIM,CA,928012638
A. MARSH MEDICAL CLINIC,NPI-2,1609269885,"Internal Medicine, Hematology",323-604-9591,615 S ATLANTIC BLVD,LOS ANGELES,CA,900223211
